Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
42	5065.939	81.17393	5190.444	4966.2217	0.058258288	0.0035146927	0.06536438	0.051653787	1681.2917382717133
43	4811.459	147.35454	5009.627	4637.7764	0.061281953	0.0031728146	0.068958946	0.056106858	1721.918024301529
44	4854.437	77.55602	4926.9995	4725.8013	0.060592584	0.0023617365	0.06648616	0.055353012	1762.2301015853882
45	4910.834	116.290565	5093.7354	4775.287	0.06035358	0.00420151	0.068416856	0.054599214	1804.97411775589
46	3182.4683	886.86176	4718.383	2649.0493	0.06855286	0.013579616	0.09383833	0.04757702	1844.096853017807
47	4717.8633	1011.1099	5621.3013	3013.8586	0.08037842	0.011443775	0.10112363	0.05686785	1886.701387166977
48	5032.662	236.48718	5382.5864	4715.286	0.051427796	0.013257302	0.09202364	0.033874363	1926.1774463653564
49	5346.6343	270.95926	5651.4653	4920.7935	0.037612207	0.0051619816	0.048687387	0.029178519	1969.0703938007355
50	5038.598	88.13414	5151.6616	4925.745	0.05184483	0.011785048	0.07898155	0.03655986	2012.4100058078766
51	4890.3643	228.0171	5157.388	4615.074	0.06415582	0.009624841	0.08415269	0.0497534	2055.574371576309
52	5182.5767	274.0186	5617.9263	4883.6743	0.07575022	0.004856708	0.08821452	0.0641723	2099.4845254421234
53	4909.1826	49.38808	4992.4673	4864.089	0.07777859	0.007100552	0.09238546	0.059612766	2141.946449995041
54	5080.8154	150.7938	5305.042	4879.7993	0.07678381	0.0044399523	0.08620793	0.06650312	2185.4197900295258
55	5288.6104	26.999006	5315.535	5243.969	0.0807672	0.004460591	0.09089954	0.07220248	2228.9348928928375
56	5229.535	79.61448	5337.304	5112.5024	0.06907135	0.0061573237	0.08243189	0.05849737	2272.3879702091217
57	5392.598	222.25714	5751.0576	5145.2544	0.062157582	0.0026284459	0.06841568	0.05665866	2313.216856479645
58	6027.877	155.94118	6232.677	5794.1133	0.07683692	0.007850395	0.087336056	0.060969464	2353.54402756691
59	6041.4053	141.39941	6185.2637	5885.4087	0.07022853	0.004949014	0.0836711	0.060576282	2394.217241048813
60	5852.1543	110.47009	5987.077	5684.5366	0.0599844	0.004687553	0.07104208	0.05167198	2434.3345823287964
61	5641.456	215.13004	6007.9536	5459.9224	0.05853175	0.0033942675	0.065244205	0.052040547	2476.827013731003
62	5077.058	563.44916	5638.6655	4240.9976	0.06890932	0.0044525466	0.07563342	0.059922073	2517.075996398926
63	5098.7617	434.63284	5400.0024	4348.882	0.055663936	0.005083861	0.07279534	0.049481228	2557.59494304657
64	5768.3174	99.86397	5890.069	5622.47	0.05125603	0.0028668025	0.056975994	0.045475453	2600.0053131580353
65	6356.0303	525.52985	7103.829	5808.082	0.04955197	0.002714385	0.054963503	0.043974333	2640.930136680603
66	5458.0913	1373.2998	6850.686	3176.565	0.052331075	0.003461009	0.059282567	0.04334493	2683.5218544006348
67	5608.76	1423.6685	6781.4336	3263.1636	0.06203017	0.0050111576	0.06959138	0.04450644	2725.8514919281006
68	5415.5947	368.00882	5846.895	5032.139	0.047386035	0.0050230846	0.058293086	0.036693275	2769.0406470298767
69	6758.849	200.5287	7090.0215	6550.8716	0.05494744	0.0034509439	0.0601296	0.046261616	2811.086597442627
70	5649.966	1486.4504	6839.5903	3103.2778	0.050212104	0.005735002	0.06036803	0.03811126	2854.375578403473
71	5280.4834	1479.2976	6949.447	2891.766	0.051636368	0.002537696	0.056250162	0.04582148	2896.8132247924805
72	6464.458	534.22174	6968.147	5634.018	0.054127842	0.0026090897	0.059071053	0.04773041	2938.500556707382
73	6662.429	235.27449	7017.204	6426.1196	0.04999422	0.0028745614	0.057333577	0.04524126	2981.668879032135
74	6097.459	1094.0516	7130.8486	4368.3613	0.0488893	0.0038697373	0.060398307	0.040937237	3023.6844244003296
75	4428.4556	1085.0369	6298.007	3703.7954	0.046379417	0.0027268003	0.051456444	0.038681984	3066.3157682418823
76	6319.8276	1092.3566	7254.8296	4506.999	0.05427706	0.0042143636	0.06034167	0.043140538	3108.9977872371674
77	6827.293	156.02675	6987.4526	6578.138	0.052369386	0.002887491	0.05784888	0.04410195	3149.404386997223
78	7130.006	164.70186	7235.1816	6845.1284	0.052211054	0.0039223037	0.059045468	0.043341603	3188.157942056656
79	6306.9766	523.6447	6933.7847	5522.089	0.052299995	0.0025953788	0.057289727	0.047665685	3229.2107870578766
80	5883.51	1317.5654	7245.096	3725.6455	0.04706086	0.005315153	0.058358442	0.038329147	3270.636174917221
81	7210.256	115.55366	7404.368	7107.475	0.04833752	0.0031799458	0.054678194	0.0419194	3313.3674314022064
82	6765.3657	602.9069	7434.3237	5972.276	0.049697574	0.0038992385	0.056760665	0.03853567	3356.2936205863953
83	7237.8403	168.20564	7519.8345	7074.8306	0.048268326	0.0044419724	0.05678868	0.036329534	3398.652275323868
84	7421.3174	290.2818	7858.812	7153.44	0.048493445	0.00424429	0.055309154	0.037256904	3440.979238510132
85	7394.628	338.49756	7848.126	6986.276	0.047372438	0.004652643	0.054458972	0.036204726	3484.228321790695
86	7548.463	224.5172	7768.693	7198.019	0.047260467	0.003429336	0.055541556	0.039144747	3526.7397508621216
87	7492.184	257.2093	7662.9966	7048.4165	0.047047883	0.0035520266	0.05425214	0.03801201	3569.8921387195587
88	7307.12	356.09863	7881.0835	6957.2554	0.04462053	0.003016371	0.051026165	0.036095146	3612.2437143325806
89	7073.5117	177.24992	7253.04	6809.041	0.041836657	0.002546031	0.0466687	0.036623485	3654.903030395508
90	6854.0596	486.95264	7654.774	6338.859	0.049586587	0.0037052052	0.057476778	0.04094692	3697.4990153312683
91	7179.2197	437.10724	7812.323	6665.2812	0.045584314	0.0053688153	0.05409724	0.03497117	3740.1750428676605
92	7747.787	186.05429	8053.328	7557.121	0.04934151	0.0035865908	0.05855032	0.040785756	3781.323282957077
93	7672.4146	291.26855	7972.35	7213.3755	0.04516972	0.0029107772	0.051556554	0.039242923	3822.920726776123
94	7665.444	246.79912	8054.549	7383.0327	0.042234138	0.0026239415	0.0479867	0.037518118	3865.0736050605774
95	7576.3438	169.21043	7833.8467	7360.829	0.043919314	0.0031782382	0.051057857	0.03708121	3908.9916412830353
96	7233.209	446.88464	7664.14	6583.287	0.03894776	0.002800715	0.045080647	0.033968218	3951.835681915283
97	7395.71	229.64093	7575.3657	7005.066	0.042050544	0.002115251	0.04609405	0.036757212	3992.9681582450867
98	6800.4297	678.799	7742.781	5975.8247	0.038323663	0.002984564	0.046354786	0.03246465	4036.28670334816
99	7616.289	294.56323	8082.6777	7315.2515	0.046637863	0.0035612818	0.05422716	0.037770037	4078.9172813892365
100	7190.863	156.81093	7352.519	6933.2593	0.039335996	0.0032686028	0.04609482	0.030635592	4122.398061990738
101	4513.164	880.3037	6037.0186	3971.9314	0.036144044	0.0028771732	0.043313555	0.031736605	4165.806376218796
102	6555.935	1616.5413	7594.3047	3762.8335	0.038006682	0.0036750045	0.04586041	0.030522484	4208.992710113525
103	7392.2437	271.67432	7599.815	6933.096	0.038257807	0.003758731	0.046749417	0.031903997	4250.3543610572815
104	6738.937	1472.428	7901.5786	4296.848	0.034521043	0.0027961517	0.040260702	0.029039133	4292.755685329437
105	6871.647	1526.9852	7834.7524	4228.3125	0.038549997	0.004220549	0.04644592	0.029013043	4334.178841590881
106	8170.9497	316.94458	8565.011	7753.6245	0.039063066	0.0034186265	0.045680255	0.029032288	4376.216071367264
107	7453.2026	394.0521	7984.0312	7042.8755	0.041085225	0.0035649217	0.047654536	0.032329015	4418.595771551132
108	7736.223	238.88298	7993.7637	7373.0728	0.042290635	0.0027817946	0.05086923	0.036400605	4457.2738745212555
109	6627.9	2606.8303	8227.581	2113.8923	0.046899118	0.007983162	0.068208694	0.037974887	4497.756166934967
110	8021.1763	213.99306	8267.695	7807.814	0.042309653	0.0025651692	0.047288295	0.037436493	4540.443651676178
111	8072.1963	205.97084	8321.454	7778.188	0.0418736	0.0020486398	0.047192078	0.037494555	4582.728709459305
