Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
48	5253.0615	181.5256	5539.936	5036.4014	0.035402246	0.0016791809	0.03980051	0.032221086	1995.5435667037964
49	5079.8105	155.04457	5235.804	4848.6484	0.038272463	0.008368531	0.06568323	0.029512733	2038.2585666179657
50	4999.1826	13.34923	5015.962	4979.505	0.03064747	0.0016154222	0.034810837	0.027922615	2079.5238597393036
51	5168.787	202.4622	5506.328	4968.4624	0.04218575	0.0053865886	0.05051191	0.031007675	2116.836937189102
52	5632.782	341.8847	5966.578	5136.1846	0.042077903	0.0031593058	0.049850754	0.035735577	2158.5691187381744
53	6353.476	259.4686	6642.7373	5959.8457	0.037134252	0.0029168425	0.046136104	0.03001057	2201.390340566635
54	5610.41	512.8426	6485.459	5174.7827	0.034235764	0.0021419814	0.038247827	0.028995976	2246.2440695762634
55	6110.277	768.63	6607.6367	4781.4556	0.042489287	0.0056843976	0.053960472	0.032138158	2289.4449315071106
56	5542.165	1245.699	6540.3506	3406.262	0.040720943	0.0068316488	0.053465262	0.029656269	2332.1527185440063
57	5427.528	725.9554	6011.114	4186.919	0.03226802	0.0021399327	0.038766082	0.028779335	2372.669345140457
58	4074.085	895.73816	5617.4805	3460.8591	0.035636164	0.0055330084	0.049709342	0.024099808	2415.676784992218
59	6730.4272	265.7022	7001.0786	6406.1543	0.039162606	0.0038860573	0.04976015	0.030520061	2459.795590877533
60	5785.873	786.2641	6876.6685	4717.91	0.040866315	0.0034487713	0.04872523	0.03440646	2502.044173002243
61	5346.2363	781.2985	6038.0986	4073.1653	0.040150657	0.004262347	0.050480198	0.031661507	2542.3901500701904
62	5326.281	331.25262	5660.681	4862.134	0.038062863	0.007129295	0.060242243	0.026300322	2584.8590018749237
63	6808.3755	218.08467	7150.4824	6572.3604	0.031561147	0.0036029138	0.038434654	0.025642954	2629.4110736846924
64	6761.2754	296.95346	7073.356	6281.3545	0.030435909	0.0042942017	0.041519493	0.023314547	2670.045164823532
65	6690.3057	136.11449	6809.548	6468.829	0.034696758	0.0039318004	0.042754713	0.02675579	2710.5857129096985
66	4141.6514	531.6707	5054.9517	3760.808	0.028608035	0.0043793456	0.041578136	0.021698626	2752.849600791931
67	6243.5645	1127.2054	7106.942	4316.328	0.028176095	0.004850115	0.038744137	0.021881301	2796.7390792369843
68	5510.8296	1273.9768	6473.106	3335.3564	0.028034978	0.003235469	0.03424462	0.020803437	2838.4438569545746
69	6574.723	320.65042	6947.028	6076.1885	0.027439332	0.002293848	0.03123292	0.02026713	2880.0754022598267
70	6520.038	255.6408	6817.5347	6202.19	0.029517498	0.006643694	0.042243704	0.018801806	2922.8769471645355
71	6068.202	623.9913	6675.0522	5030.8936	0.03859321	0.005869099	0.047850426	0.026890824	2966.0670716762543
72	7123.7383	263.31924	7543.6704	6895.8745	0.03182659	0.0065545957	0.047865476	0.02549999	3010.7656750679016
73	7470.8057	215.34656	7811.2754	7217.7456	0.02992312	0.012496596	0.050174657	0.015457233	3053.102200269699
74	6608.6094	326.73273	7163.2817	6340.804	0.03298184	0.004236029	0.039473113	0.023315182	3094.3175387382507
75	6784.3696	208.2135	6996.14	6458.5444	0.039734133	0.0059278123	0.050709754	0.024345342	3133.568295955658
76	7376.08	326.43826	7694.861	6872.264	0.03538904	0.009999739	0.061138112	0.020102954	3175.1017503738403
77	7288.855	141.77197	7430.144	7096.0366	0.048562575	0.0049457713	0.05632139	0.03478877	3217.7135379314423
78	7428.4585	363.13373	7861.348	6860.733	0.050847787	0.011252967	0.075342454	0.03375135	3261.0654911994934
79	7392.9297	187.20798	7614.0103	7147.2646	0.042534545	0.012274368	0.07831057	0.029151058	3305.7354986667633
80	7287.577	32.67402	7332.9507	7249.287	0.039113328	0.0030374136	0.047020935	0.032624412	3349.8712260723114
81	7431.8936	73.8586	7531.0063	7323.2153	0.042732242	0.0039108205	0.049329054	0.034048077	3393.6332461833954
82	7165.7188	151.54396	7289.4624	6916.0806	0.037630737	0.0045214845	0.04922056	0.028668456	3432.546493291855
83	7150.8887	160.05412	7359.842	6942.718	0.043482285	0.0046295733	0.053572997	0.033547774	3475.3039989471436
84	7738.648	221.47816	7999.5015	7478.7935	0.04348255	0.003993521	0.050635055	0.036915474	3518.444790124893
85	7111.8413	115.18867	7257.806	6942.888	0.04915014	0.0088713905	0.075181104	0.034858204	3561.155855178833
86	7441.4844	263.31863	7686.2227	7006.4243	0.046238925	0.012327613	0.08116323	0.035697654	3602.9970166683197
87	7459.943	170.30803	7705.082	7226.926	0.048726972	0.014105799	0.07677017	0.03080528	3646.6828515529633
88	7634.531	230.78659	7915.806	7289.823	0.035088178	0.0053878245	0.04634311	0.029032655	3688.833461523056
